Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KLKB1	9	3	12	585	8	246	19	1	21	81	3	23	116	198	0	12
KLLN	13	8	7	8	10	0	22	1	1	0	2	9	8	7	2	11
KLRB1	14	12	2	7	0	33	44	0	14	6	5	171	12	11	4	85
KLRC1	10	7	7	5	0	0	15	0	0	0	8	18	2	9	21	12
KLRC2	8	1	1	3	0	0	3	0	7	0	30	9	8	12	11	6
KLRC3	8	7	4	1	11	14	9	0	11	0	48	16	5	2	22	13
KLRC4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
KLRC4-KLRK1	57	85	15	26	4	29	149	1	25	3	195	268	17	31	39	126
KLRD1	25	27	4	7	5	8	23	0	101	0	83	34	7	38	64	32
KLRF1	10	2	3	7	0	0	11	0	33	0	2	29	6	12	6	18
KLRF2	4	0	1	0	0	0	0	0	1	0	0	5	0	5	0	1
KLRG1	21	18	15	15	12	2	70	0	15	0	25	96	23	17	25	55
KLRG2	1	0	1	0	0	0	0	0	0	0	13	3	0	1	1	2
KLRK1	2	3	0	0	0	0	16	0	3	0	15	22	3	4	1	6
KMO	90	11	28	249	49	214	359	0	30	1	34	334	95	257	126	121
KNCN	5	0	1	6	0	0	1	0	9	0	0	0	0	10	0	0
KNDC1	3	4	1	26	3	26	6	0	4	0	1	2	10	10	0	1
KNG1	38	5	259	9486	95	3779	37	202	24	836	0	7	1376	2382	8	22
KNTC1	213	292	256	84	208	32	609	122	236	1	714	984	303	52	1963	595
KPNA1	148	566	447	425	626	313	363	60	793	22	1825	661	375	164	1900	478
KPNA2	72	260	284	101	235	120	261	178	265	12	863	287	245	19	2097	240
KPNA3	108	522	625	252	872	129	246	42	651	43	478	551	244	79	2092	377
KPNA4	196	1272	1095	501	977	559	594	14	1143	61	948	1264	1110	164	2999	916
KPNA5	48	81	40	14	48	3	157	1	140	1	57	282	39	15	50	186
KPNA6	168	863	502	580	924	693	517	134	1012	28	704	831	473	176	1922	620
KPNA7	4	1	10	5	1	0	4	0	0	0	1	0	8	11	45	0
KPNB1	377	1399	1493	884	2466	852	1615	141	3030	45	2471	2232	1299	255	6025	1452
KPRP	7	145	3	0	0	0	8	0	0	0	0	5	1	8	0	17
KPTN	7	9	4	2	6	5	4	0	12	0	7	4	7	2	22	2
KRAS	132	584	716	307	651	252	460	9	501	19	693	719	573	74	722	494
KRBA1	4	32	8	8	20	39	42	20	25	0	63	34	7	6	13	11
KRBA2	18	24	27	11	25	0	78	9	0	0	17	59	16	6	48	42
KRBOX1	3	1	1	7	0	0	5	0	0	0	0	5	3	2	15	1
KRCC1	48	111	131	66	1060	165	189	38	288	1	127	250	113	32	219	155
KREMEN1	59	446	90	73	106	111	219	188	153	5	320	211	74	30	267	302
KREMEN2	1	8	0	0	0	0	6	0	0	0	1	2	1	0	3	3
KRI1	37	108	41	44	196	122	211	25	196	3	133	188	49	16	261	82
KRIT1	125	352	241	119	577	180	465	177	450	3	467	946	512	82	995	518
KRR1	84	331	215	142	350	200	329	111	177	10	560	622	385	80	605	367
