Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
CCDC88A	256	221	262	180	653	51	193	1016	110	394	625	115	133	434
CCDC88B	25	51	11	14	21	0	6	51	8	24	46	24	3	10
CCDC88C	274	237	468	230	890	19	100	721	73	731	741	76	51	558
CCDC89	11	5	11	4	23	0	2	52	2	8	31	2	2	24
CCDC9	62	86	112	35	234	5	35	184	17	109	151	36	17	134
CCDC90A	97	47	274	59	727	16	77	490	60	528	461	33	71	771
CCDC90B	72	26	448	69	420	11	36	411	34	212	378	16	20	339
CCDC91	62	57	266	58	348	16	57	323	25	124	296	8	40	267
CCDC92	93	121	214	73	205	27	101	288	55	189	233	35	83	184
CCDC93	185	99	350	160	742	30	144	835	89	411	619	88	81	556
CCDC94	18	13	119	17	141	0	3	109	5	90	101	10	7	92
CCDC96	1	1	2	0	0	0	1	7	1	5	4	2	1	1
CCDC97	53	110	146	47	196	24	57	188	45	144	151	48	74	169
CCER1	6	0	0	0	0	0	0	0	1	0	0	14	3	0
CCHCR1	49	38	91	23	174	6	12	141	18	91	120	22	12	97
CCIN	5	0	2	0	1	0	1	2	2	1	1	5	1	1
CCK	9	10	1	0	27	0	0	9	11	27	91	2	1	22
CCKAR	8	4	0	1	0	0	0	10	2	0	1	5	0	1
CCKBR	9	0	0	0	34	1	0	6	0	1	1	2	4	3
CCL1	5	0	1	0	0	0	0	0	0	0	0	0	0	0
CCL11	4	10	1	3	5	0	3	3	1	3	2	0	3	2
CCL13	4	3	0	0	0	0	0	4	2	1	1	2	0	0
CCL14	11	102	47	17	86	14	31	131	22	111	163	42	42	95
CCL15	1	1	0	0	0	0	1	0	0	1	0	0	0	0
CCL16	14	4	0	5	1	2	1	5	4	3	4	2	4	1
CCL17	1	0	1	0	0	0	1	1	0	0	0	2	0	2
CCL18	4	0	1	1	9	1	1	22	1	17	0	6	0	2
CCL19	5	22	7	19	8	1	11	76	3	15	29	18	10	25
CCL2	34	46	114	65	932	19	69	523	21	74	160	14	103	106
CCL20	2	0	5	7	1	0	0	4	2	1	4	0	0	5
CCL21	5	19	13	2	56	6	5	120	10	11	34	9	5	17
CCL22	9	10	1	1	10	5	18	26	4	7	7	31	14	13
CCL23	4	1	0	0	8	0	1	2	0	2	2	0	4	0
CCL24	0	0	1	1	1	0	1	0	0	0	0	2	0	0
CCL25	2	0	1	0	0	1	0	0	4	0	0	1	1	0
CCL26	2	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL27	3	0	0	0	1	0	0	1	0	0	0	0	0	0
CCL28	14	19	23	6	49	0	0	26	6	15	22	4	1	12
CCL3	2	4	12	8	17	0	5	13	0	6	1	4	1	6
CCL3L1	1	1	8	5	13	0	1	5	3	3	1	1	1	6
CCL3L3	1	6	4	2	0	0	2	4	0	1	0	2	0	2
CCL4	4	6	7	8	10	1	3	12	1	5	5	4	9	10
CCL4L1	0	1	7	7	8	0	1	5	1	2	3	0	1	3
CCL4L2	0	0	4	3	4	0	2	5	3	1	1	0	0	7
CCL5	62	44	38	24	122	3	22	100	17	54	53	15	23	47
CCL7	3	0	0	0	0	0	0	0	1	1	0	0	2	0
CCL8	7	0	4	3	11	2	0	5	0	3	1	1	1	5
CCM2	26	24	73	22	107	2	14	95	13	73	82	13	7	54
CCNA1	12	0	0	1	1	0	0	0	3	0	1	1	0	0
CCNA2	19	4	30	11	61	3	7	34	2	34	43	0	6	36
CCNB1	37	0	131	15	120	1	5	91	11	64	123	4	7	65
CCNB1IP1	64	28	124	26	272	22	45	217	33	88	176	42	26	150
CCNB2	23	10	47	6	48	0	3	16	6	17	30	0	1	23
CCNB3	23	0	8	0	10	0	0	3	0	13	7	3	1	26
CCNC	117	49	402	99	789	10	87	588	50	372	705	26	50	713
CCND1	583	529	1926	580	2831	253	790	2936	503	1036	2270	416	625	1771
CCND2	473	726	471	418	1948	536	1158	2732	693	670	1754	785	1310	1534
CCND3	25	25	57	20	133	5	20	108	19	44	98	28	15	48
CCNDBP1	100	104	424	77	684	18	49	480	57	272	424	28	44	387
CCNE1	18	8	6	1	13	1	2	20	5	12	13	6	2	7
CCNE2	25	7	31	14	67	0	2	15	11	15	36	4	3	9
CCNF	45	39	23	11	112	9	14	51	17	61	60	24	10	73
CCNG1	262	26	1848	341	2103	47	225	1729	121	1221	1892	62	129	2099
CCNG2	295	167	1412	617	2148	80	469	1429	255	1309	1211	116	287	2056
CCNH	89	28	538	131	990	7	75	521	37	560	462	14	67	623
CCNI	856	816	3515	906	3934	249	722	3680	525	2581	3382	640	665	3846
CCNI2	11	0	1	0	58	2	1	34	5	1	5	5	0	2
CCNJ	64	34	121	45	150	13	39	125	14	145	176	17	24	137
CCNJL	14	8	15	4	9	0	8	21	9	4	12	5	1	2
CCNK	78	126	160	107	227	14	86	216	49	177	231	79	60	232
CCNL1	161	94	842	265	1442	24	80	1330	68	766	1024	43	69	1009
CCNL2	193	388	797	325	1505	29	203	1278	130	870	1337	147	117	844
CCNO	2	0	10	3	21	0	0	7	0	6	3	4	2	2
CCNT1	172	99	883	219	1099	74	199	979	143	571	740	128	205	847
CCNT2	225	63	768	228	1290	38	120	1081	107	727	1026	44	78	1069
CCNY	138	88	525	158	740	57	186	761	128	506	688	115	144	777
CCNYL1	78	23	69	34	180	7	45	168	29	118	142	30	42	136
CCNYL2	17	0	0	0	0	0	0	1	1	1	0	1	0	0
CCP110	152	80	301	153	462	25	85	500	63	275	417	63	65	401
CCPG1	315	205	2803	409	2829	70	260	1990	146	936	1919	86	139	2076
CCR1	11	5	9	7	85	16	17	47	10	22	31	14	14	26
CCR10	2	6	0	2	2	2	0	2	1	1	1	0	0	1
CCR2	34	3	23	7	47	7	11	48	10	37	30	9	4	17
CCR3	13	0	0	0	2	0	0	1	1	0	0	2	4	0
CCR4	16	2	7	4	15	4	5	10	1	10	6	5	6	10
CCR5	41	23	14	26	34	9	13	34	16	24	17	29	23	25
CCR6	40	11	21	9	24	6	3	42	8	11	8	4	10	14
CCR7	9	6	4	11	9	4	1	21	1	11	7	9	5	10
CCR8	8	0	1	0	2	0	0	0	3	2	2	4	1	2
CCR9	6	0	0	1	0	1	0	0	8	2	0	23	6	0
CCRL1	6	0	1	1	11	1	3	8	5	0	3	1	4	1
CCRL2	9	2	7	1	6	0	1	18	1	8	4	3	1	8
CCRN4L	9	5	46	7	68	1	3	36	12	23	33	11	5	33
CCS	24	45	69	19	148	2	15	132	13	78	111	15	5	75
CCSAP	70	36	182	54	272	25	94	335	57	161	205	46	96	262
CCT2	139	60	1721	154	1354	18	55	1003	33	574	1186	50	68	1067
CCT3	203	84	1856	242	1186	13	94	1186	58	912	1488	81	77	1619
CCT4	199	52	1064	148	1281	29	90	1186	69	582	1215	69	70	932
CCT5	227	101	1483	149	1787	3	64	1147	50	886	1552	33	38	1380
CCT6A	226	164	1838	261	1657	22	108	1785	68	968	1788	73	86	1343
CCT6B	20	5	53	14	71	0	8	63	3	28	36	8	4	69
CCT7	207	112	843	146	1340	11	63	946	49	608	1001	93	70	835
CCT8	224	68	2105	283	2093	23	95	1588	61	973	1559	70	62	1411
CCT8L2	5	0	0	0	1	0	1	0	0	0	2	2	2	0
CCZ1	68	35	338	69	718	8	42	459	29	267	357	24	35	236
CCZ1B	96	66	446	82	588	7	58	430	46	261	512	32	32	477
CD101	37	1	9	7	25	4	7	26	8	8	21	18	2	6
CD109	142	25	78	39	227	13	52	457	80	245	249	45	44	190
CD14	14	4	16	10	81	1	9	51	1	29	51	7	6	40
CD151	106	102	787	93	1036	19	64	673	61	509	643	99	48	648
CD160	13	0	3	2	2	1	5	7	2	4	2	0	0	1
CD163	39	68	26	18	99	4	14	117	14	97	47	5	15	49
CD163L1	47	22	30	8	56	1	8	85	12	50	26	21	9	28
CD164	559	186	2925	569	5333	107	610	4584	274	2565	5060	150	467	5570
CD164L2	3	1	11	1	10	1	0	7	5	3	10	6	5	3
CD177	195	43	427	42	5193	40	4	2735	136	383	1184	32	6	294
CD180	25	18	16	15	20	3	11	31	8	17	16	12	15	14
CD19	7	6	2	3	0	0	0	0	6	0	4	18	5	0
CD1A	21	5	0	0	0	1	2	1	4	0	2	2	4	1
CD1B	11	0	0	0	4	0	1	0	1	0	2	5	0	0
CD1C	27	16	11	4	22	1	5	20	7	15	9	13	3	6
CD1D	17	2	6	5	23	0	0	25	6	11	12	11	1	6
CD1E	17	8	9	3	7	0	6	25	10	10	10	6	0	7
CD2	17	14	46	26	60	2	15	61	10	53	24	8	5	35
CD200	48	35	31	14	176	12	28	281	24	24	91	11	53	54
CD200R1	16	2	7	6	22	1	7	21	0	14	14	2	4	9
CD200R1L	10	0	0	0	0	0	0	0	0	0	0	0	0	0
CD207	28	7	7	4	27	2	4	35	4	5	18	16	0	3
CD209	25	21	4	7	46	13	10	20	9	30	5	23	10	10
CD22	33	128	16	44	11	4	20	32	20	13	28	42	22	18
CD226	22	2	9	15	22	0	10	25	14	16	24	4	11	20
CD244	21	5	3	2	9	1	1	15	3	2	8	8	0	4
CD247	23	13	17	14	31	2	2	37	13	30	13	11	10	23
CD248	17	69	26	18	85	18	38	137	26	45	70	45	29	15
CD27	11	16	18	17	23	1	2	18	5	6	9	11	4	8
CD274	35	7	12	9	37	9	6	64	13	15	19	12	9	15
CD276	121	103	664	200	474	47	109	548	67	319	547	100	107	323
CD28	30	3	26	43	37	10	25	73	18	55	9	15	33	115
CD2AP	349	127	3283	622	2636	9	167	1581	100	1763	1998	54	145	2443
CD2BP2	66	81	285	69	536	17	70	489	42	265	382	48	38	292
CD300A	9	2	9	4	18	0	2	34	2	5	12	6	4	5
CD300C	0	0	1	0	2	0	0	6	3	0	3	8	1	3
CD300E	31	22	1	3	20	6	8	6	8	2	1	10	9	9
CD300LB	7	1	0	3	13	1	0	12	2	4	2	4	1	6
CD300LD	0	0	0	0	0	2	0	0	0	0	0	0	1	0
CD300LF	11	1	2	1	13	3	2	21	4	1	4	3	1	2
CD300LG	17	3	0	0	1	0	1	1	4	1	7	10	3	0
CD302	21	16	1007	84	449	29	64	295	19	358	507	24	90	594
CD320	22	19	65	9	130	1	7	62	6	95	101	13	3	101
CD33	17	1	1	2	8	2	3	12	5	8	8	6	0	8
CD34	46	99	48	38	138	42	64	215	60	88	155	57	85	68
CD36	43	2	28	7	52	6	30	59	19	28	29	13	15	45
CD37	25	38	16	21	22	8	22	35	11	17	15	35	25	19
CD38	233	32	934	121	309	3	13	173	24	1268	765	16	0	276
CD3D	13	5	19	10	31	1	3	33	3	20	12	7	2	24
CD3E	24	18	28	17	30	6	13	33	7	29	12	5	12	25
CD3EAP	24	16	76	17	125	7	23	81	19	93	90	19	11	86
CD3G	15	11	11	4	12	2	3	17	8	25	5	6	6	13
CD4	30	31	41	33	108	24	29	147	21	69	60	78	38	58
CD40	47	18	20	17	165	9	14	164	18	53	73	25	5	25
CD40LG	8	11	13	22	14	5	23	19	16	9	15	28	28	13
CD44	841	602	1028	527	3313	171	594	2767	402	2588	2695	395	568	2593
CD46	926	292	6365	1142	6628	69	520	5104	300	3452	6010	137	274	5990
CD47	431	167	851	294	3656	120	391	2697	257	1126	1376	151	394	2504
CD48	44	7	28	38	67	10	8	76	23	50	34	8	13	39
CD5	19	7	11	17	19	5	4	21	7	14	9	17	3	16
CD52	20	24	31	13	52	4	8	50	6	15	22	4	5	24
CD53	63	95	52	55	138	17	27	176	13	85	77	36	29	50
CD55	78	27	163	83	718	9	53	565	42	81	128	15	44	173
CD58	16	2	46	12	98	0	12	90	10	36	73	6	1	74
CD59	392	247	1403	451	2692	252	580	3457	398	1275	1933	402	442	1801
CD5L	14	3	0	0	1	1	1	0	4	0	0	8	2	0
CD6	10	12	17	15	31	2	5	32	5	20	8	24	11	18
CD63	310	169	1959	207	2619	47	169	2429	93	854	1677	142	136	1307
CD68	60	236	120	33	538	16	55	647	24	266	172	31	33	207
CD69	18	10	46	46	58	1	10	82	8	25	43	14	11	29
CD7	2	8	1	4	8	1	3	10	7	2	1	18	5	1
CD70	8	0	0	1	1	0	0	0	0	0	1	3	1	2
CD72	17	17	7	7	16	1	2	26	4	10	5	8	5	3
CD74	685	2257	1647	1306	4050	451	1153	4725	688	2502	2581	1144	1176	1910
CD79A	12	19	20	14	6	0	0	4	3	5	7	9	2	7
CD79B	12	7	9	1	13	2	2	19	2	7	18	0	1	12
CD80	16	0	0	0	11	0	3	10	2	7	2	1	0	1
CD81	241	241	558	159	807	77	169	1082	127	593	701	215	208	585
CD82	49	164	96	52	156	8	45	192	24	62	98	59	38	69
CD83	27	25	77	49	266	15	52	325	16	75	96	38	50	156
CD84	95	52	66	69	207	17	62	285	31	130	98	41	47	104
CD86	26	14	12	12	90	7	12	76	12	33	34	12	9	32
CD8A	36	13	26	22	40	3	12	24	14	18	10	18	12	30
CD8B	10	1	26	4	10	1	8	14	4	8	15	7	7	17
CD9	456	174	3001	295	2617	28	111	2281	130	1176	3053	75	194	3076
CD93	43	90	198	100	593	61	88	840	79	222	373	101	60	210
CD96	43	46	34	30	49	4	19	81	23	56	39	8	16	45
CD97	34	37	52	18	181	19	34	227	18	106	119	45	25	136
CD99 (NC_000023 2609227..2659350)	93	139	366	79	507	26	71	447	44	264	422	47	19	299
CD99 (NC_000024 2559227..2609350)	94	131	307	94	463	26	68	431	50	313	434	65	94	321
CD99L2	83	89	192	49	262	10	89	321	55	201	251	81	38	195
CDA	5	6	1	1	0	0	4	5	1	0	1	8	1	0
CDADC1	54	10	104	39	167	2	28	180	25	103	141	20	17	145
CDAN1	65	67	112	46	255	26	30	236	47	118	173	50	25	150
CDC123	87	25	298	48	354	4	30	358	16	207	369	11	16	314
CDC14A	142	55	313	82	612	12	98	719	52	525	674	31	98	1278
CDC14B	144	58	152	73	509	32	102	401	100	216	273	61	56	279
CDC16	123	62	509	133	683	15	63	566	44	451	522	31	52	590
CDC20	11	6	7	5	30	4	2	7	2	13	5	6	0	9
CDC20B	23	0	0	0	6	1	0	0	10	1	0	7	8	0
CDC23	94	25	326	76	558	11	57	443	45	259	359	41	46	464
CDC25A	34	0	31	8	44	6	5	25	4	27	23	12	7	56
CDC25B	50	112	51	55	130	24	88	200	53	83	130	77	60	70
CDC25C	28	2	3	2	6	2	1	2	5	3	6	4	0	2
CDC26	34	8	95	21	249	6	13	226	16	83	146	34	19	96
CDC27	2090	103	780	198	1217	80	203	1165	324	556	1012	333	170	865
CDC34	28	21	150	25	255	5	20	190	13	102	132	28	11	114
CDC37	183	122	811	81	1490	19	46	1135	41	710	1083	47	37	851
CDC37L1	69	71	221	49	409	20	43	382	46	196	286	31	53	267
CDC40	121	68	400	85	671	17	80	740	33	434	690	29	45	661
CDC42	331	238	1689	350	2167	132	345	2063	274	885	1711	258	338	1412
CDC42BPA	547	493	2141	656	2033	157	551	2694	402	1640	2080	380	390	1823
CDC42BPB	521	416	1401	423	2350	61	287	1996	203	1644	1661	261	226	1564
CDC42BPG	53	34	68	19	193	9	12	161	19	111	137	36	14	92
CDC42EP1	11	28	39	19	88	9	34	74	21	36	79	33	19	52
CDC42EP2	9	31	49	24	28	6	25	15	10	29	60	26	4	13
CDC42EP3	450	252	480	315	996	157	720	1863	333	589	1249	209	376	1014
CDC42EP4	97	170	235	108	457	39	107	497	100	181	309	135	76	218
CDC42EP5	39	8	35	12	130	3	14	147	12	226	130	24	22	428
CDC42SE1	177	177	1685	535	1322	114	353	1259	192	849	1510	238	277	827
CDC42SE2	223	77	2160	530	987	75	280	903	163	781	1310	118	200	827
CDC45	13	0	18	2	22	0	1	5	0	3	18	11	0	4
CDC5L	286	146	1160	213	1399	25	123	1178	73	748	1223	56	89	1143
CDC6	28	4	34	5	68	1	8	38	4	24	78	2	2	48
CDC7	29	3	18	23	41	5	12	57	6	22	26	22	3	14
CDC73	342	267	1017	332	1098	43	252	1340	180	899	1474	123	180	1443
CDCA2	20	10	7	5	13	0	1	15	11	6	11	2	2	5
CDCA3	12	0	2	0	6	1	1	3	3	2	6	4	0	1
CDCA4	14	8	58	12	61	10	12	73	6	39	47	14	5	45
CDCA5	13	12	8	2	32	3	2	5	4	11	8	3	1	8
CDCA7	34	34	15	10	41	1	9	62	6	51	65	4	17	102
CDCA7L	112	85	316	82	428	13	33	281	61	104	92	29	9	113
CDCA8	23	0	15	2	20	2	2	16	4	12	8	11	9	17
CDCP1	82	17	154	45	452	5	30	244	40	171	281	64	13	235
CDCP2	10	1	0	0	0	0	0	0	1	1	0	9	0	0
CDH1	1331	461	7475	1178	7844	205	478	4483	491	5182	5976	458	463	8086
CDH10	55	64	112	31	37	6	16	92	16	44	151	17	27	51
CDH11	108	138	247	142	924	24	191	1212	51	266	486	62	62	452
CDH12	24	0	1	0	1	2	5	9	10	1	3	8	1	1
CDH13	18	4	16	8	140	3	12	114	14	10	36	5	1	18
CDH15	3	0	0	1	0	1	0	0	0	0	0	0	0	0
CDH16	11	0	0	0	0	2	0	0	2	0	0	9	3	0
CDH17	40	11	2	1	15	5	4	47	7	3	19	8	10	6
CDH18	19	0	0	0	2	2	0	2	4	1	0	1	1	1
CDH19	40	5	10	10	46	16	11	73	17	20	11	0	14	4
CDH2	42	3	10	17	130	4	11	118	22	15	25	18	20	90
CDH20	31	2	1	0	2	0	1	8	6	2	4	1	1	1
CDH22	4	0	3	1	9	3	2	21	8	1	3	6	0	1
CDH23	94	198	27	25	44	18	19	79	43	12	45	111	18	20
CDH24	17	32	10	1	16	1	11	19	15	17	28	40	19	11
CDH26	63	12	56	25	289	1	8	266	27	513	271	21	16	392
CDH3	133	62	107	26	489	18	46	545	27	188	232	41	22	214
CDH4	25	0	1	0	8	7	2	15	4	0	2	23	3	1
CDH5	36	30	76	19	150	11	19	235	24	68	117	19	15	71
CDH6	58	19	21	23	54	2	36	107	30	36	49	29	15	20
CDH7	44	2	86	3	85	0	2	81	8	4	88	2	0	17
CDH8	39	1	3	2	24	0	0	18	6	1	17	0	1	4
CDH9	26	0	0	0	0	0	0	0	0	0	0	4	0	0
CDHR1	39	56	6	6	24	2	5	21	13	10	9	18	7	6
CDHR2	9	0	1	0	0	2	2	1	6	0	0	20	4	0
CDHR3	41	4	6	4	27	4	5	9	7	3	10	8	16	2
CDHR4	10	2	0	0	0	0	2	1	5	1	0	8	1	1
CDHR5	14	0	0	0	1	0	1	1	10	1	0	21	0	1
CDIPT	57	65	264	62	427	17	92	326	62	203	346	72	78	326
CDK1	23	0	22	7	91	2	2	22	4	28	31	3	4	16
CDK10	22	38	130	27	197	9	20	115	15	100	140	28	15	150
CDK11A	44	88	131	52	164	2	37	293	26	110	179	19	16	108
CDK11B	40	32	82	50	179	3	30	141	18	89	106	27	9	108
CDK12	302	361	1025	374	1553	61	213	1219	158	1096	1272	143	159	1396
CDK13	285	211	1128	304	1340	23	183	1281	115	787	1173	75	116	1051
CDK14	124	74	590	141	644	32	92	669	68	352	581	62	53	385
CDK15	40	5	3	10	7	6	14	15	9	15	17	23	5	6
CDK16	88	68	435	99	545	10	76	371	50	348	421	50	43	396
CDK17	156	88	641	155	1120	33	162	942	85	643	788	50	133	802
CDK18	29	46	32	20	84	11	28	65	25	19	29	60	21	20
CDK19	284	142	2744	522	8544	64	250	2884	111	3254	2205	150	171	1270
CDK2	37	6	142	34	291	19	32	219	25	118	226	24	29	149
CDK20	17	12	53	12	85	6	19	70	9	53	85	10	15	40
CDK2AP1	176	62	1764	325	1243	86	213	1155	148	566	996	73	128	580
CDK2AP2	21	35	106	22	82	16	15	80	19	73	63	20	38	89
CDK3	23	28	71	25	104	6	21	72	16	61	69	11	3	90
CDK4	60	68	390	77	349	13	57	374	28	180	280	39	45	304
CDK5	18	2	55	2	48	1	2	35	8	22	46	6	1	27
CDK5R1	12	1	32	5	11	0	8	23	3	24	40	12	1	27
CDK5R2	3	0	0	0	0	0	2	1	17	0	0	12	5	0
CDK5RAP1	57	12	132	19	226	3	18	181	28	102	115	8	8	123
CDK5RAP2	356	296	615	201	1623	31	130	1251	96	642	835	76	89	1061
CDK5RAP3	136	122	556	179	816	3	54	716	41	480	770	51	20	626
CDK6	172	82	602	259	888	80	472	1186	280	1340	2191	129	255	2060
CDK7	41	6	229	46	272	0	34	198	14	117	217	6	19	264
CDK8	53	39	119	39	236	10	43	238	37	94	142	27	37	149
CDK9	89	194	306	106	488	30	77	444	56	210	327	90	48	260
CDKAL1	81	20	218	61	357	22	43	393	31	169	307	27	35	292
CDKL1	26	5	23	11	28	3	11	67	17	37	56	13	9	20
CDKL2	30	3	16	3	19	0	15	42	8	16	38	0	12	15
CDKL3	37	9	28	12	42	3	6	35	11	20	38	2	7	14
CDKL4	16	0	4	1	0	0	0	3	2	1	4	11	5	2
CDKL5	79	54	127	58	460	7	45	252	58	410	424	30	24	416
CDKN1A	33	44	75	49	402	39	155	462	76	84	117	81	135	145
CDKN1B	92	67	516	127	809	19	74	803	80	220	575	57	50	520
CDKN1C	28	20	94	14	83	4	11	86	13	45	77	8	16	50
CDKN2A	10	0	4	4	4	0	5	10	3	0	3	5	1	11
CDKN2AIP	58	12	271	29	381	6	27	400	28	138	226	13	20	207
CDKN2AIPNL	29	38	214	45	187	6	16	112	24	67	155	8	29	169
CDKN2B	43	4	31	21	246	14	29	205	29	61	147	17	29	83
CDKN2C	13	4	29	8	74	9	16	127	18	37	40	17	1	24
CDKN2D	6	9	10	2	19	1	4	16	3	14	11	6	1	8
CDKN3	11	0	9	2	21	0	0	4	0	5	7	0	0	10
CDNF	38	16	36	12	53	1	14	53	8	40	57	6	5	49
CDO1	25	22	557	77	30	3	14	91	10	137	317	11	9	29
CDON	82	26	420	115	330	24	57	324	41	212	149	22	44	257
CDPF1	8	8	27	5	34	0	6	31	4	18	25	9	1	21
CDR1	29	372	13	67	25	266	503	36	173	6	35	258	459	16
CDR2	63	27	172	42	448	11	45	386	32	141	186	27	31	170
CDR2L	40	31	86	24	195	3	19	153	22	114	130	36	18	93
CDRT1	37	0	2	0	1	1	1	4	6	1	2	4	2	4
CDRT15	1	0	0	0	0	1	0	0	1	0	0	0	0	0
CDRT15L2	3	0	0	0	0	1	0	0	0	0	0	0	0	0
CDRT4	1	1	1	0	0	0	0	0	0	0	0	0	0	3
CDS1	121	20	391	75	1017	17	51	391	34	442	443	27	35	456
CDS2	225	206	858	299	1051	123	468	1653	292	742	1061	373	298	904
CDSN	7	2	0	0	3	1	2	0	2	1	0	5	2	1
CDT1	12	7	5	2	10	1	1	10	2	4	9	10	4	3
CDV3	226	227	1309	432	2106	105	371	1714	182	998	1327	233	333	1341
CDX1	5	0	0	0	0	1	0	0	0	0	0	8	0	1
CDX2	6	0	14	5	16	1	0	11	1	17	0	7	2	1
CDX4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1	9	0	0	0	0	0	0	2	1	1	1	0	0	0
CDY1B	6	0	0	0	0	0	0	2	1	0	0	0	0	0
CDY2A	4	0	0	0	0	0	0	0	0	1	1	1	0	0
CDY2B	4	0	0	0	0	0	1	0	1	0	0	1	0	0
CDYL	122	104	326	78	522	20	82	523	55	229	349	37	53	320
CDYL2	94	72	293	73	537	22	97	409	50	393	612	70	52	408
CEACAM1	97	53	193	104	555	42	140	813	71	82	317	66	14	135
CEACAM16	2	0	3	0	0	0	1	0	1	0	0	6	2	0
CEACAM18	9	0	0	0	0	0	0	0	0	0	0	7	1	0
CEACAM19	7	6	6	3	20	0	16	16	13	20	15	15	14	29
CEACAM20	15	1	6	0	17	2	0	76	0	88	2	4	10	35
CEACAM21	10	0	2	1	4	0	0	4	3	9	3	3	1	1
CEACAM3	10	0	0	0	0	0	0	1	1	0	0	6	1	0
CEACAM4	12	0	0	0	1	0	0	2	4	0	1	6	1	0
CEACAM5	39	4	3	0	165	3	0	15	11	2	2	10	1	1
CEACAM6	36	15	19	30	73	7	11	110	21	14	9	14	1	3
CEACAM7	23	1	0	2	8	5	0	2	14	0	4	8	0	0
CEACAM8	18	2	0	0	1	0	0	1	4	0	0	2	0	0
CEBPA	60	97	186	176	154	188	80	249	183	207	238	140	227	278
CEBPB	26	35	95	11	311	2	46	439	22	60	146	25	35	88
CEBPD	41	35	267	86	1357	10	93	1189	39	199	267	25	58	388
CEBPE	6	0	0	0	0	2	0	1	1	0	0	1	1	0
CEBPG	137	18	371	81	596	26	93	594	74	386	481	52	81	374
CEBPZ	151	86	656	160	1056	6	94	951	54	481	788	33	61	667
CECR1	64	107	84	118	193	68	122	325	98	137	246	131	135	122
CECR2	69	12	103	60	103	4	21	47	36	192	124	40	33	214
CECR5	19	26	134	28	91	0	14	90	11	85	132	11	3	112
CECR6	56	24	245	96	48	9	45	69	26	134	191	57	16	159
CEL	18	5	5	1	14	1	2	26	1	7	9	13	2	4
CELA1	9	0	0	0	0	0	0	0	2	0	0	3	1	0
CELA2A	5	0	0	0	0	0	0	0	4	0	0	6	0	0
CELA2B	5	0	0	0	0	0	2	2	2	1	0	2	4	0
CELA3A	5	0	0	0	0	0	0	0	1	0	0	1	1	0
CELA3B	5	0	0	0	0	0	2	0	3	0	0	5	0	0
CELF1	278	431	1445	529	1617	235	530	1398	331	1055	1375	478	547	1293
CELF2	199	153	173	160	527	76	231	915	163	289	446	148	255	913
CELF3	20	0	3	1	1	5	7	3	7	1	0	15	4	0
CELF4	22	1	4	1	3	2	1	4	6	3	4	19	3	2
CELF5	19	4	6	1	14	9	2	10	15	15	0	23	3	4
CELF6	30	26	26	17	110	13	29	97	14	95	63	23	14	74
CELSR1	175	110	191	117	252	16	54	349	90	315	306	64	32	314
CELSR2	103	62	128	75	140	20	51	228	66	108	159	55	26	74
CELSR3	44	11	50	31	33	10	9	20	15	23	25	41	5	9
CEMP1	4	0	10	4	8	0	1	7	1	9	15	12	0	11
CEND1	6	3	2	0	6	2	9	17	2	4	9	5	7	4
CENPA	4	2	5	0	15	0	0	1	2	7	6	11	1	4
CENPB	50	79	223	49	284	21	62	287	27	159	243	72	42	150
CENPBD1	40	14	103	34	126	8	19	105	10	100	99	14	11	121
CENPC1	231	47	674	128	1025	11	69	942	47	487	801	36	39	738
CENPE	92	8	89	26	173	7	14	108	11	85	117	6	15	83
CENPF	112	11	144	60	265	6	14	129	21	193	188	19	13	148
CENPH	15	4	26	5	56	3	5	36	5	22	49	0	7	13
CENPI	21	0	3	5	16	0	4	13	4	11	17	1	7	9
CENPJ	125	56	181	68	211	2	33	246	37	191	287	10	25	200
CENPK	25	11	10	6	35	0	1	20	4	8	26	13	3	8
CENPL	18	3	18	4	26	2	9	32	10	15	27	11	8	16
CENPM	3	0	0	5	11	0	1	2	0	2	4	5	0	2
CENPN	73	59	216	68	728	18	131	555	42	194	301	109	48	276
CENPO	35	21	96	25	68	2	14	46	18	72	107	16	7	68
CENPP	29	13	38	12	56	2	16	41	24	45	50	6	6	39
CENPQ	18	5	53	5	77	0	5	68	2	36	52	3	0	47
CENPT	35	42	100	34	191	8	22	210	20	97	207	37	13	110
CENPV	10	3	38	8	49	3	12	41	9	17	73	12	4	24
CENPW	8	0	10	0	19	0	1	38	1	11	14	4	1	4
