Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
ABCC10	206	98	55	103	81	22	110	145	38	581
ABCC11	19	13	22	7	4	26	25	17	36	36
ABCC12	3	0	11	1	1	33	27	15	40	37
ABCC2	11	4	27	10	1	37	46	16	53	65
ABCC3	603	1414	18	722	154	50	816	431	65	530
ABCC4	5547	1661	285	2245	1258	110	2801	66	270	4254
ABCC5	3218	573	466	1345	385	94	1170	316	169	938
ABCC6	3	1	8	0	2	17	17	4	19	20
ABCC8	0	2	13	0	0	26	18	3	15	9
ABCC9	43	70	37	60	71	53	98	56	61	222
ABCD1	58	55	30	19	33	8	30	36	8	248
ABCD2	3	22	13	7	11	31	46	26	34	49
ABCD3	2155	7335	1037	1525	3936	208	902	3789	298	4995
ABCD4	428	209	124	326	125	31	215	186	51	535
ABCE1	1693	2665	748	1453	1518	139	783	618	197	7629
ABCF1	928	904	365	781	569	77	374	550	123	1254
ABCF2	746	682	145	413	468	59	293	344	111	1714
ABCF3	454	520	196	237	220	35	209	179	59	1248
ABCG1	1186	593	191	325	235	88	443	113	87	3738
ABCG2	158	354	21	14	63	22	67	127	34	298
ABCG4	3	5	2	1	1	5	4	4	7	7
ABCG5	0	0	3	0	3	7	10	1	8	11
ABCG8	1	0	4	0	0	7	7	1	8	11
ABHD1	2	0	2	2	2	7	3	0	11	7
ABHD10	509	820	225	224	469	29	240	188	66	1311
ABHD11	111	232	52	116	49	8	83	62	16	331
ABHD12	1648	1868	189	703	808	61	256	500	140	1283
ABHD12B	10	1	5	1	3	9	9	12	23	22
ABHD13	766	637	406	547	292	47	546	170	115	1826
ABHD14A	60	86	26	29	40	4	24	20	9	150
ABHD14B	364	636	246	218	122	51	118	62	41	280
ABHD15	246	107	94	72	80	19	81	178	38	690
ABHD16A	237	203	89	150	86	25	118	86	27	378
ABHD16B	0	1	2	0	1	0	1	2	1	2
ABHD2	8827	3030	3701	2307	1496	348	1265	986	248	6321
ABHD3	205	201	42	59	75	9	84	161	19	136
ABHD4	112	235	61	125	37	12	79	158	31	379
ABHD5	2420	1333	384	867	1055	87	468	573	123	4754
ABHD6	81	184	27	44	72	11	71	55	22	291
ABHD8	13	9	7	9	23	2	6	10	4	73
ABI1	1883	1835	839	914	1016	104	829	690	190	3247
ABI2	902	603	348	325	407	65	473	307	107	1736
ABI3	8	32	2	4	6	10	12	14	3	22
ABI3BP	13	34	15	9	20	44	26	119	49	144
